year,hires,terminations,net_change,net_change_percent
2020,1012,46,966,95.45
2019,1083,65,1018,94.00
2018,1147,65,1082,94.33
2017,1091,72,1019,93.40
2016,1122,87,1035,92.25
2015,1059,103,956,90.27
2014,1053,104,949,90.12
2013,1105,111,994,89.95
2012,1103,132,971,88.03
2011,1101,129,972,88.28
2010,1099,149,950,86.44
2009,1140,166,974,85.44
2008,1108,158,950,85.74
2007,1090,163,927,85.05
2006,1118,205,913,81.66
2005,1097,202,895,81.59
2004,1135,211,924,81.41
2003,1142,203,939,82.22
2002,1067,174,893,83.69
2001,1122,203,919,81.91
2000,220,31,189,85.91
